Red,Green,Blue,Clear,Distance_mm,Timestamp
158,93,88,244,25,2026-01-21 10:39:32.358
365,304,297,439,27,2026-01-21 10:39:32.501
334,263,258,426,31,2026-01-21 10:39:32.644
168,97,91,264,28,2026-01-21 10:39:32.787
449,381,376,534,26,2026-01-21 10:39:32.930
313,250,244,392,26,2026-01-21 10:39:33.073
155,92,87,239,28,2026-01-21 10:39:33.216
418,354,348,494,19,2026-01-21 10:39:33.359
255,203,196,318,19,2026-01-21 10:39:33.502
128,83,80,182,20,2026-01-21 10:39:33.645
240,197,191,292,20,2026-01-21 10:39:33.788
218,174,169,272,20,2026-01-21 10:39:33.931
139,93,90,196,21,2026-01-21 10:39:34.074
258,215,208,313,21,2026-01-21 10:39:34.217
285,234,226,350,22,2026-01-21 10:39:34.360
173,120,115,244,22,2026-01-21 10:39:34.503
284,240,231,346,23,2026-01-21 10:39:34.646
234,194,187,296,18,2026-01-21 10:39:34.789
174,125,120,243,32,2026-01-21 10:39:34.932
486,423,420,567,38,2026-01-21 10:39:35.075
545,473,470,643,33,2026-01-21 10:39:35.218
322,245,239,431,36,2026-01-21 10:39:35.361
607,530,527,712,28,2026-01-21 10:39:35.504
622,539,535,737,37,2026-01-21 10:39:35.647
290,223,219,380,32,2026-01-21 10:39:35.790
467,401,397,551,28,2026-01-21 10:39:35.933
437,373,368,519,24,2026-01-21 10:39:36.076
263,203,197,341,26,2026-01-21 10:39:36.230
413,351,88,491,27,2026-01-21 10:39:36.363
406,342,335,487,29,2026-01-21 10:39:36.505
321,249,243,417,38,2026-01-21 10:39:36.648
188,106,100,302,35,2026-01-21 10:39:36.791
588,508,505,697,36,2026-01-21 10:39:36.934
392,316,311,497,28,2026-01-21 10:39:37.077
168,98,93,263,27,2026-01-21 10:39:37.220
439,370,365,525,26,2026-01-21 10:39:37.363
338,271,265,423,24,2026-01-21 10:39:37.506
158,94,90,243,22,2026-01-21 10:39:37.649
363,302,294,439,34,2026-01-21 10:39:37.792
408,332,327,509,28,2026-01-21 10:39:37.935
174,109,104,268,21,2026-01-21 10:39:38.078
359,304,295,447,25,2026-01-21 10:39:38.221
332,276,267,439,22,2026-01-21 10:39:38.364
179,132,123,295,22,2026-01-21 10:39:38.507
324,284,272,428,21,2026-01-21 10:39:38.650
341,290,280,451,31,2026-01-21 10:39:38.793
219,156,150,325,25,2026-01-21 10:39:38.936
402,341,334,488,23,2026-01-21 10:39:39.079
318,262,254,394,19,2026-01-21 10:39:39.222
196,138,133,275,23,2026-01-21 10:39:39.365
406,341,334,488,28,2026-01-21 10:39:39.508
414,346,340,506,33,2026-01-21 10:39:39.651
272,202,196,374,28,2026-01-21 10:39:39.794
423,358,352,512,23,2026-01-21 10:39:39.937
347,290,282,425,34,2026-01-21 10:39:40.080
322,246,240,430,32,2026-01-21 10:39:40.223
640,557,553,758,39,2026-01-21 10:39:40.366
593,517,514,700,28,2026-01-21 10:39:40.509
287,224,219,372,22,2026-01-21 10:39:40.652
372,313,86,451,21,2026-01-21 10:39:40.795
368,308,300,446,21,2026-01-21 10:39:40.938
275,215,208,357,21,2026-01-21 10:39:41.081
147,88,84,228,19,2026-01-21 10:39:41.224
314,264,255,380,21,2026-01-21 10:39:41.367
231,183,176,297,23,2026-01-21 10:39:41.510
139,85,81,212,28,2026-01-21 10:39:41.653
423,360,354,500,30,2026-01-21 10:39:41.796
357,294,289,440,26,2026-01-21 10:39:41.939
147,88,83,230,27,2026-01-21 10:39:42.082
411,351,346,486,33,2026-01-21 10:39:42.225
385,321,317,472,24,2026-01-21 10:39:42.368
149,98,93,224,22,2026-01-21 10:39:42.511
246,209,201,308,24,2026-01-21 10:39:42.654
183,150,144,241,24,2026-01-21 10:39:42.797
127,90,87,186,21,2026-01-21 10:39:42.940
226,190,183,283,21,2026-01-21 10:39:43.083
209,171,165,266,22,2026-01-21 10:39:43.226
138,101,97,196,29,2026-01-21 10:39:43.369
191,160,154,248,28,2026-01-21 10:39:43.512
179,149,143,241,24,2026-01-21 10:39:43.655
139,105,101,200,25,2026-01-21 10:39:43.798
207,173,167,266,27,2026-01-21 10:39:43.941
201,165,159,258,27,2026-01-21 10:39:44.084
144,108,104,195,31,2026-01-21 10:39:44.227
182,148,144,231,32,2026-01-21 10:39:44.370
173,139,136,222,30,2026-01-21 10:39:44.513
144,109,106,195,28,2026-01-21 10:39:44.656
188,152,148,239,32,2026-01-21 10:39:44.799
177,142,139,226,33,2026-01-21 10:39:44.942
145,110,108,195,32,2026-01-21 10:39:45.085
181,85,82,235,27,2026-01-21 10:39:45.228
207,170,165,267,31,2026-01-21 10:39:45.371
153,121,117,211,35,2026-01-21 10:39:45.514
