Red,Green,Blue,Clear,Distance_mm,Timestamp
241,326,334,524,22,2026-01-21 10:26:55.931
139,223,234,428,32,2026-01-21 10:26:56.074
409,526,544,794,25,2026-01-21 10:26:56.217
509,704,731,1136,22,2026-01-21 10:26:56.360
264,424,445,788,32,2026-01-21 10:26:56.503
429,540,556,806,22,2026-01-21 10:26:56.646
308,392,398,611,24,2026-01-21 10:26:56.789
203,286,292,515,21,2026-01-21 10:26:56.932
301,377,379,587,21,2026-01-21 10:26:57.075
283,358,360,564,21,2026-01-21 10:26:57.218
195,275,283,487,21,2026-01-21 10:26:57.361
313,402,411,620,21,2026-01-21 10:26:57.504
257,333,340,521,21,2026-01-21 10:26:57.647
157,216,223,376,24,2026-01-21 10:26:57.790
93,145,154,400,24,2026-01-21 10:26:57.933
184,237,242,378,25,2026-01-21 10:26:58.076
149,204,211,350,22,2026-01-21 10:26:58.219
90,144,153,293,22,2026-01-21 10:26:58.362
217,279,284,433,24,2026-01-21 10:26:58.505
151,200,205,332,29,2026-01-21 10:26:58.648
85,125,132,246,26,2026-01-21 10:26:58.791
172,218,222,343,21,2026-01-21 10:26:58.934
167,223,229,368,22,2026-01-21 10:26:59.077
92,151,160,308,22,2026-01-21 10:26:59.220
224,289,294,445,23,2026-01-21 10:26:59.363
187,248,254,402,21,2026-01-21 10:26:59.506
100,153,161,298,26,2026-01-21 10:26:59.649
179,227,232,357,23,2026-01-21 10:26:59.792
148,190,195,310,26,2026-01-21 10:26:59.935
99,140,147,262,28,2026-01-21 10:27:00.078
162,204,208,322,28,2026-01-21 10:27:00.221
149,191,196,310,27,2026-01-21 10:27:00.364
109,155,162,285,25,2026-01-21 10:27:00.507
176,225,229,356,24,2026-01-21 10:27:00.650
180,235,240,378,23,2026-01-21 10:27:00.793
124,177,185,324,23,2026-01-21 10:27:00.936
198,254,259,401,21,2026-01-21 10:27:01.079
203,265,271,425,22,2026-01-21 10:27:01.222
143,202,210,363,20,2026-01-21 10:27:01.365
215,274,279,433,22,2026-01-21 10:27:01.508
223,283,287,447,21,2026-01-21 10:27:01.651
169,228,233,400,20,2026-01-21 10:27:01.794
274,344,347,532,29,2026-01-21 10:27:01.937
383,482,492,734,27,2026-01-21 10:27:02.080
256,345,354,583,20,2026-01-21 10:27:02.223
114,183,192,546,24,2026-01-21 10:27:02.366
256,327,331,509,21,2026-01-21 10:27:02.509
192,266,274,454,20,2026-01-21 10:27:02.652
103,175,186,365,22,2026-01-21 10:27:02.795
219,283,288,445,25,2026-01-21 10:27:02.938
146,191,197,323,30,2026-01-21 10:27:03.081
90,127,134,246,30,2026-01-21 10:27:03.224
159,199,204,318,25,2026-01-21 10:27:03.367
147,194,200,326,25,2026-01-21 10:27:03.510
94,148,157,296,22,2026-01-21 10:27:03.653
232,297,302,455,21,2026-01-21 10:27:03.796
204,272,278,437,19,2026-01-21 10:27:03.939
109,175,185,347,20,2026-01-21 10:27:04.082
279,357,364,538,27,2026-01-21 10:27:04.225
296,390,402,611,21,2026-01-21 10:27:04.368
126,201,211,387,22,2026-01-21 10:27:04.511
243,314,319,482,23,2026-01-21 10:27:04.654
222,297,303,473,23,2026-01-21 10:27:04.797
148,235,246,445,23,2026-01-21 10:27:04.940
284,367,374,559,22,2026-01-21 10:27:05.083
254,331,338,514,24,2026-01-21 10:27:05.226
130,187,194,338,24,2026-01-21 10:27:05.369
198,251,256,390,23,2026-01-21 10:27:05.512
193,248,253,391,23,2026-01-21 10:27:05.655
131,183,190,325,24,2026-01-21 10:27:05.798
203,258,263,402,23,2026-01-21 10:27:05.941
249,326,332,508,21,2026-01-21 10:27:06.084
161,230,238,403,19,2026-01-21 10:27:06.227
222,287,168,448,20,2026-01-21 10:27:06.370
224,292,297,459,21,2026-01-21 10:27:06.513
165,232,240,405,20,2026-01-21 10:27:06.656
104,174,184,361,23,2026-01-21 10:27:06.799
314,411,422,641,29,2026-01-21 10:27:06.942
272,375,389,629,20,2026-01-21 10:27:07.085
119,178,185,365,23,2026-01-21 10:27:07.228
246,304,305,482,22,2026-01-21 10:27:07.371
208,271,275,457,22,2026-01-21 10:27:07.514
112,173,182,354,22,2026-01-21 10:27:07.657
209,265,270,424,30,2026-01-21 10:27:07.799
145,184,190,312,29,2026-01-21 10:27:07.943
96,133,140,254,27,2026-01-21 10:27:08.086
159,199,205,322,24,2026-01-21 10:27:08.229
153,201,207,336,23,2026-01-21 10:27:08.372
103,154,163,300,24,2026-01-21 10:27:08.515
203,263,268,415,19,2026-01-21 10:27:08.658
186,245,251,397,21,2026-01-21 10:27:08.801
112,169,177,322,20,2026-01-21 10:27:08.944
206,265,271,417,21,2026-01-21 10:27:09.087
218,291,297,464,25,2026-01-21 10:27:09.230
125,187,196,349,24,2026-01-21 10:27:09.373
186,240,245,380,23,2026-01-21 10:27:09.516
169,220,226,358,22,2026-01-21 10:27:09.659
129,191,199,351,20,2026-01-21 10:27:09.802
235,306,312,475,23,2026-01-21 10:27:09.945
236,310,316,486,22,2026-01-21 10:27:10.088
150,215,223,382,24,2026-01-21 10:27:10.231
207,265,270,415,25,2026-01-21 10:27:10.374
174,222,227,355,20,2026-01-21 10:27:10.517
167,234,242,405,21,2026-01-21 10:27:10.660
239,305,166,468,20,2026-01-21 10:27:10.803
215,276,281,430,22,2026-01-21 10:27:10.946
163,224,231,384,22,2026-01-21 10:27:11.089
98,152,161,308,23,2026-01-21 10:27:11.232
193,246,251,393,23,2026-01-21 10:27:11.375
164,219,226,375,22,2026-01-21 10:27:11.518
109,160,168,319,21,2026-01-21 10:27:11.661
218,270,274,428,24,2026-01-21 10:27:11.804
185,233,237,390,24,2026-01-21 10:27:11.947
126,166,172,324,29,2026-01-21 10:27:12.090
211,250,252,399,28,2026-01-21 10:27:12.233
172,207,211,347,29,2026-01-21 10:27:12.376
113,145,151,273,33,2026-01-21 10:27:12.519
160,193,198,313,30,2026-01-21 10:27:12.662
141,176,181,295,28,2026-01-21 10:27:12.805
