,precision,recall,f1-score,support
Blue,0.9927007299270073,0.9855072463768116,0.9890909090909091,138.0
Green,0.926605504587156,0.9901960784313726,0.957345971563981,102.0
Red,0.9836065573770492,1.0,0.9917355371900827,120.0
y,0.9821428571428571,0.9166666666666666,0.9482758620689655,120.0
accuracy,0.9729166666666667,0.9729166666666667,0.9729166666666667,0.9729166666666667
macro avg,0.9712639122585175,0.9730924978687127,0.9716120699784845,480.0
weighted avg,0.9737424832087618,0.9729166666666667,0.9728025051357444,480.0
