Model,Accuracy,Precision,Recall,F1-Score,CV_Mean,CV_Std
SVM,0.91875,0.9307313616827543,0.91875,0.918883713322501,0.9248912097476065,0.016883721437177552
Random Forest,0.9604166666666667,0.9613714615311221,0.9604166666666667,0.9602380585139166,0.96504977154047,0.005366459648433072
KNN,0.9729166666666667,0.9737424832087618,0.9729166666666667,0.9728025051357444,0.9739161771105309,0.007200475086282441
Neural Network,0.9583333333333334,0.9587423946139142,0.9583333333333334,0.9583877208402473,0.9666149912967799,0.011244305290244616
