,precision,recall,f1-score,support
Blue,0.9784172661870504,0.9855072463768116,0.9819494584837545,138.0
Green,0.9099099099099099,0.9901960784313726,0.9483568075117371,102.0
Red,0.9915254237288136,0.975,0.9831932773109243,120.0
y,0.9553571428571429,0.8916666666666667,0.9224137931034483,120.0
accuracy,0.9604166666666667,0.9604166666666667,0.9604166666666667,0.9604166666666667
macro avg,0.9588024356707292,0.9605924978687127,0.9589783341024661,480.0
weighted avg,0.9613714615311221,0.9604166666666667,0.9602380585139166,480.0
