,precision,recall,f1-score,support
Blue,0.9781021897810219,0.9710144927536232,0.9745454545454545,138.0
Green,0.9743589743589743,0.7450980392156863,0.8444444444444444,102.0
Red,0.9913793103448276,0.9583333333333334,0.9745762711864406,120.0
y,0.7785234899328859,0.9666666666666667,0.862453531598513,120.0
accuracy,0.91875,0.91875,0.91875,0.91875
macro avg,0.9305909911044274,0.9102781329923274,0.9140049254437131,480.0
weighted avg,0.9307313616827543,0.91875,0.918883713322501,480.0
